address,city,county,lonlat,name,storeType
仁五路41號1樓,基隆市,仁愛區,"121.740818,25.1272929",基隆仁五加盟服務中心,加盟
深溪路160號,基隆市,信義區,"121.782837,25.134258",基隆深溪加盟服務中心,加盟
信一路160號,基隆市,中正區,"121.74588399999993,25.1301007",基隆信一店,直營
安一路45號,基隆市,中山區,"121.73661400000003,25.1312699",基隆安一店,直營
基金一路198-1號,基隆市,安樂區,"121.7104346,25.1414651",基隆大武崙加盟服務中心,加盟
明德一路71號,基隆市,七堵區,"121.7163579,25.098308",基隆七堵加盟服務中心,加盟
市民大道三段2號1樓R107,臺北市,中正區,"121.53112729999998,25.0454815",臺北三創店,直營
襄陽路29號,臺北市,中正區,"121.51383099999998,25.0435569",臺北襄陽店,直營
民生西路122號,臺北市,大同區,"121.51928980000002,25.0573528",臺北雙連店,直營
延平北路三段96號,臺北市,大同區,"121.51090599999998,25.066227",臺北延平店,直營
民權西路85號,臺北市,大同區,"121.5191942,25.0630602",大同民權西加盟服務中心,加盟
南京東路二段34號,臺北市,中山區,"121.52925340000002,25.0518652",臺北南京店,直營
林森北路398-3號,臺北市,中山區,"121.5253844,25.0591206",中山林森北加盟服務中心,加盟
東興路28號,臺北市,松山區,"121.5655624,25.0484048",松山東興加盟服務中心,加盟
信義路三段190-3號,臺北市,大安區,"121.54291330000001,25.0331842",臺北信義店,直營
羅斯福路三段279-2號,臺北市,大安區,"121.53125160000002,25.0181146",臺北公館店,直營
通化街45號,臺北市,大安區,"121.55435940000007,25.0307187",臺北通化店,直營
萬大路240號,臺北市,萬華區,"121.50029429999995,25.0264664",萬華萬大店,直營
莒光路113號,臺北市,萬華區,"121.5038891,25.030985",萬華莒光加盟服務中心,加盟
莊敬路476號1樓,臺北市,信義區,"121.56816300000003,25.0265649",臺北莊敬店,直營
忠孝東路五段776號,臺北市,信義區,"121.58158379999998,25.0433388",臺北忠孝店,直營
信義路六段94號,臺北市,信義區,"121.577472,25.035604",信義虎林加盟服務中心,加盟
中正路385號,臺北市,士林區,"121.52158199999997,25.09411",臺北士林店,直營
文林路178號,臺北市,士林區,"121.52702449999992,25.0895601",士林文林店,直營
中山北路六段222號,臺北市,士林區,"121.52543200000002,25.108551",天母中山北店,直營
光明路174-1號,臺北市,北投區,"121.5030469,25.1354573",北投光明加盟服務中心,加盟
成功路三段91號,臺北市,內湖區,"121.58982400000002,25.0786078",內湖成功店,直營
康寧路3段171-1號,臺北市,內湖區,"121.6118208,25.0701281",內湖康寧加盟服務中心,加盟
木新路三段171號,臺北市,文山區,"121.5606577,24.9815547",文山木新加盟服務中心,加盟
興隆路3段145號,臺北市,文山區,"121.5589349,24.9982549",文山興隆加盟服務中心,加盟
