address,code,lat,lng,name,storeType
台北市松山區民生東路五段206號,A,,,民生服務中心,直營服務中心
台北市松山區南京東路五段135號,A,,,南京東服務中心,直營服務中心
台北市松山區民生東路4段69號,A,,,台北敦北服務中心,直營服務中心
台北市松山區南京東路4段11號,A,,,台北小巨蛋服務中心,直營服務中心
台北市松山區復興南路一段7號,A,,,復興服務中心,直營服務中心
台北市松山區敦化北路340之9號,A,,,松山機場服務中心,直營服務中心
台北市大安區忠孝東路三段214號,A,,,台北忠孝服務中心,直營服務中心
台北市大安區通化街177號,A,,,台北通化服務中心,直營服務中心
台北市大安區和平東路1段182之2號,A,,,台北師大服務中心,直營服務中心
台北市敦化南路二段162號,A,,,敦南服務中心,直營服務中心
台北市信義路四段89之1號,A,,,大安服務中心,直營服務中心
台北市大安區愛國東路35-1號,A,,,東門服務中心,直營服務中心
台北市敦化南路一段158號,A,,,頂好服務中心,直營服務中心
台北市中正區市民大道三段2號,A,,,台北三創服務中心,直營服務中心
桃園市桃園區大業路一段353號,H,,,大業服務中心,直營服務中心
新北市新莊區建國一路10號,F,,,輔大服務中心,直營服務中心
基隆市七堵區崇智街2-5號,C,,,七堵服務中心,直營服務中心
基隆市仁愛區仁一路321號,C,,,基隆服務中心,直營服務中心
基隆市仁愛區仁三路74號,C,,,仁三服務中心,直營服務中心
宜蘭縣宜蘭市東港路46號,G,,,宜蘭服務中心,直營服務中心
台北市仁愛路一段42號,A,,,台北南區服務中心,直營服務中心
台北市博愛路168號,A,,,博愛服務中心,直營服務中心
台北市濟南路一段1號2樓,A,,,立法院服務中心,直營服務中心
台北市中正區公園路18號,A,,,公園服務中心,直營服務中心
台北市中正區羅斯福路四段76號,A,,,公館服務中心,直營服務中心
桃園市桃園區龍安街107號,H,,,龍安服務中心,直營服務中心
桃園市桃園區桃鶯路157號,H,,,桃鶯服務中心,直營服務中心
桃園市桃園區中正路417號,H,,,桃園夜市服務中心,直營服務中心
桃園市桃園區大有路455號,H,,,大有服務中心,直營服務中心
新北市新莊區中平路369號,F,,,中平服務中心,直營服務中心
新北市新莊區民安路214號1樓,F,,,新莊民安服務中心,直營服務中心
新北市新莊區幸福路612號1樓,F,,,新莊幸福服務中心,直營服務中心
基隆市安樂區安一路123號,C,,,安一服務中心,直營服務中心
基隆市安樂路二段129號,C,,,安樂服務中心,直營服務中心
基隆市安樂區基金一路172之6號,C,,,基隆大武崙特約服務中心,特約服務中心
基隆市信義區深溪路94號,C,,,基隆深溪特約服務中心,特約服務中心
基隆市信義區信一路94號,C,,,基隆信一特約服務中心,特約服務中心
宜蘭縣宜蘭市神農路一段170號,G,,,宜大服務中心,直營服務中心
宜蘭縣頭城鎮民鋒路15號,G,,,頭城服務中心,直營服務中心
宜蘭縣礁溪鄉礁溪路四段128號,G,,,礁溪服務中心,直營服務中心
宜蘭縣羅東鎮公正路112號,G,,,羅東服務中心,直營服務中心
台北市萬華區昆明街126號,A,,,西門町服務中心,直營服務中心
新竹市中正路105號,I,,,新竹服務中心,直營服務中心
新竹市林森路22號,I,,,林森服務中心,直營服務中心
桃園市桃園區復興路189號,H,,,桃園服務中心,直營服務中心
桃園市桃園區宏昌六街237號,H,,,中平服務中心,直營服務中心
桃園市大溪區慈湖路78號,H,,,大溪服務中心,直營服務中心
新北市新莊區中華路一段57號,F,,,新莊服務中心,直營服務中心
新北市新莊區四維路7號,F,,,後港服務中心,直營服務中心
新北市林口區忠孝路370號1樓,F,,,林口忠孝服務中心,直營服務中心
新竹縣竹東鎮杞林路68號,J,,,竹東服務中心,直營服務中心
苗栗縣苗栗市中正路560號,K,,,苗栗服務中心,直營服務中心
宜蘭縣冬山鄉冬山路一段879號,G,,,冬山服務中心,直營服務中心
宜蘭縣蘇澳鎮中山路一段220號,G,,,蘇澳服務中心,直營服務中心
宜蘭縣三星鄉中山路26號,G,,,三星服務中心,直營服務中心
宜蘭縣宜蘭市中山路三段105號,G,,,宜蘭中山特約服務中心,特約服務中心
新竹市東區建新路112號,I,,,建新服務中心,直營服務中心
新竹市東區園區一路99號,I,,,科園服務中心,直營服務中心
新竹市東區西大路322號,I,,,西門服務中心,直營服務中心
新竹市東區民生路168號,I,,,民生服務中心,直營服務中心
桃園市中壢區日新路49號,H,,,中原服務中心,直營服務中心
桃園市中壢區龍東路471號,H,,,龍東服務中心,直營服務中心
桃園市中壢區忠孝路65 號,H,,,內壢忠孝服務中心,直營服務中心
新北市林口區中山路262號,F,,,林口服務中心,直營服務中心
新北市五股區成泰路三段18號,F,,,五股服務中心,直營服務中心
新北市蘆洲區集賢路338號1樓,F,,,集賢服務中心,直營服務中心
新竹縣關西鎮正義路53號,J,,,關西服務中心,直營服務中心
新竹縣新埔鎮中正路208號,J,,,新埔服務中心,直營服務中心
苗栗縣苑裡鎮忠勇街17號,K,,,苑裡服務中心,直營服務中心
苗栗縣通霄鎮中正路74-2號,K,,,通霄服務中心,直營服務中心
苗栗縣公館鄉館南村館南160之2號,K,,,公館服務中心,直營服務中心
苗栗縣銅鑼鄉郵電街31號,K,,,銅鑼服務中心,直營服務中心
宜蘭縣宜蘭市神農路一段123號,G,,,宜蘭神農特約服務中心,特約服務中心
宜蘭縣羅東鎮興東路129號,G,,,羅東興東特約服務中心,特約服務中心
宜蘭縣羅東鎮中正南路65之3號,G,,,羅東中正南特約服務中心,特約服務中心
宜蘭縣羅東鎮中正路82號,G,,,羅東中正特約服務中心,特約服務中心
台中市東區十甲路450號,L,,,十甲服務中心,直營服務中心
彰化縣彰化市和平路52號,N,,,彰化服務中心,直營服務中心
新竹市光復路一段354巷1弄7號1樓,I,,,關新服務中心,直營服務中心
新竹市北區中正路233號,I,,,新竹中正特約服務中心,特約服務中心
新竹市北區湳雅街8號1樓,I,,,新竹湳雅特約服務中心,特約服務中心
新竹市北區西大路465號,I,,,新竹西大特約服務中心,特約服務中心
新竹市東區光復路一段117號,I,,,新竹竹科特約服務中心,特約服務中心
新竹市東區南大路333號,I,,,新竹南大特約服務中心,特約服務中心
雲林縣斗六市文化路38號,P,,,斗六服務中心,直營服務中心
桃園市中壢區新生路133號,H,,,中壢新生服務中心,直營服務中心
桃園市中壢區健行路124號,H,,,中壢健行服務中心,直營服務中心
桃園市中壢區中山路152號,H,,,中壢服務中心,直營服務中心
桃園市中壢區興仁路一段188號,H,,,內壢服務中心,直營服務中心
南投縣南投市民族路160號,M,,,南投服務中心,直營服務中心
南投縣南投市光華路7號,M,,,中興服務中心,直營服務中心
新北市蘆洲區中華街73號1樓,F,,,蘆洲中華服務中心,直營服務中心
新北市蘆洲區三民路91號,F,,,蘆洲服務中心,直營服務中心
新北市三重區正義北路15-3號,F,,,正義服務中心,直營服務中心
新北市三重區三和路二段150號1樓,F,,,三重三和服務中心,直營服務中心
新竹縣竹北市縣政九路136號,J,,,竹北服務中心,直營服務中心
新竹縣竹北市博愛街426-1號,J,,,博愛服務中心,直營服務中心
新竹縣湖口鄉中央街20號,J,,,湖口服務中心,直營服務中心
嘉義縣朴子市山通路21號,Q,,,朴子服務中心,直營服務中心
苗栗縣三義鄉中正路138號,K,,,三義服務中心,直營服務中心
苗栗縣竹南鎮和平街81-2號,K,,,和平服務中心,直營服務中心
苗栗縣頭份鎮民族路739號,K,,,竹南服務中心,直營服務中心
台中市西區精誠路105-8號,L,,,台中公益服務中心,直營服務中心
台中市西區美村路一段685號,L,,,美村服務中心,直營服務中心
台中市西區市府路37號,L,,,南台中服務中心,直營服務中心
台中市南區學府路73、75號,L,,,台中學府服務中心,直營服務中心
